loan_amnt,term,grade,annual_inc,dti,loan_status,term_months,is_default,loan_to_income,small_purchase,dti_bucket,risk_segment
10000.0, 60 months,C,42500.0,31.04,Current,60,0,0.23529411764705882,0,"(30, 100]",Medium Risk
30000.0, 36 months,D,175000.0,18.5,Fully Paid,36,0,0.17142857142857143,0,"(10, 20]",Medium Risk
1500.0, 36 months,A,45000.0,16.11,Fully Paid,36,0,0.03333333333333333,0,"(10, 20]",Medium Risk
25000.0, 36 months,A,150000.0,9.54,Fully Paid,36,0,0.16666666666666666,0,"(0, 10]",Low Risk
16250.0, 60 months,C,50000.0,34.95,Current,60,0,0.325,0,"(30, 100]",Medium Risk
20200.0, 60 months,D,60000.0,34.84,Charged Off,60,1,0.33666666666666667,0,"(30, 100]",Medium Risk
23975.0, 60 months,E,70000.0,33.2,Charged Off,60,1,0.3425,0,"(30, 100]",Medium Risk
15000.0, 60 months,B,65000.0,29.28,Fully Paid,60,0,0.23076923076923078,0,"(20, 30]",Medium Risk
10000.0, 36 months,B,41600.0,15.78,Fully Paid,36,0,0.2403846153846154,0,"(10, 20]",Medium Risk
15000.0, 36 months,B,110000.0,13.24,Fully Paid,36,0,0.13636363636363635,0,"(10, 20]",Low Risk
23100.0, 60 months,E,110000.0,20.43,Charged Off,60,1,0.21,0,"(20, 30]",Medium Risk
27300.0, 36 months,D,65000.0,25.63,Charged Off,36,1,0.42,0,"(20, 30]",Medium Risk
25000.0, 60 months,B,135000.0,4.65,Fully Paid,60,0,0.18518518518518517,0,"(0, 10]",Low Risk
15000.0, 36 months,B,40000.0,10.17,Fully Paid,36,0,0.375,0,"(10, 20]",Low Risk
10000.0, 60 months,D,30000.0,30.84,Fully Paid,60,0,0.3333333333333333,0,"(30, 100]",Medium Risk
18500.0, 60 months,C,70000.0,13.2,Fully Paid,60,0,0.2642857142857143,0,"(10, 20]",Medium Risk
5000.0, 36 months,A,32000.0,13.73,Fully Paid,36,0,0.15625,0,"(10, 20]",Low Risk
9000.0, 36 months,B,50000.0,11.98,Fully Paid,36,0,0.18,0,"(10, 20]",Low Risk
11000.0, 36 months,A,85000.0,15.0,Fully Paid,36,0,0.12941176470588237,0,"(10, 20]",Medium Risk
20000.0, 36 months,A,55000.0,29.15,Fully Paid,36,0,0.36363636363636365,0,"(20, 30]",Medium Risk
15000.0, 36 months,A,80000.0,20.18,Fully Paid,36,0,0.1875,0,"(20, 30]",Medium Risk
12000.0, 36 months,A,53750.0,15.3,Fully Paid,36,0,0.22325581395348837,0,"(10, 20]",Medium Risk
8000.0, 36 months,B,45000.0,21.23,Fully Paid,36,0,0.17777777777777778,0,"(20, 30]",Medium Risk
12000.0, 36 months,B,40000.0,31.95,Fully Paid,36,0,0.3,0,"(30, 100]",Medium Risk
18000.0, 36 months,A,75000.0,25.65,Fully Paid,36,0,0.24,0,"(20, 30]",Medium Risk
3600.0, 36 months,B,85000.0,17.44,Fully Paid,36,0,0.042352941176470586,0,"(10, 20]",Medium Risk
7200.0, 36 months,D,20000.0,13.21,Charged Off,36,1,0.36,0,"(10, 20]",Medium Risk
15000.0, 60 months,C,77213.0,18.17,Fully Paid,60,0,0.19426780464429566,0,"(10, 20]",Medium Risk
5000.0, 36 months,B,72000.0,6.52,Fully Paid,36,0,0.06944444444444445,0,"(0, 10]",Low Risk
11550.0, 60 months,D,38000.0,21.07,Charged Off,60,1,0.30394736842105263,0,"(20, 30]",Medium Risk
33600.0, 36 months,B,104000.0,14.01,Fully Paid,36,0,0.3230769230769231,0,"(10, 20]",Low Risk
17925.0, 60 months,D,39000.0,27.78,Current,60,0,0.4596153846153846,0,"(20, 30]",Medium Risk
17475.0, 36 months,C,39750.0,23.58,Charged Off,36,1,0.439622641509434,0,"(20, 30]",Medium Risk
9000.0, 36 months,B,47000.0,8.43,Fully Paid,36,0,0.19148936170212766,0,"(0, 10]",Low Risk
12000.0, 60 months,B,65000.0,23.84,Fully Paid,60,0,0.18461538461538463,0,"(20, 30]",Medium Risk
4000.0, 36 months,B,44500.0,15.83,Fully Paid,36,0,0.0898876404494382,0,"(10, 20]",Medium Risk
10500.0, 36 months,D,70100.0,8.51,Fully Paid,36,0,0.14978601997146934,0,"(0, 10]",Medium Risk
14000.0, 36 months,B,100000.0,15.97,Fully Paid,36,0,0.14,0,"(10, 20]",Medium Risk
6000.0, 36 months,A,105000.0,14.45,Fully Paid,36,0,0.05714285714285714,0,"(10, 20]",Low Risk
16000.0, 60 months,C,90000.0,6.39,Current,60,0,0.17777777777777778,0,"(0, 10]",Medium Risk
15000.0, 36 months,B,92000.0,13.89,Fully Paid,36,0,0.16304347826086957,0,"(10, 20]",Low Risk
12000.0, 36 months,B,39400.0,26.32,Fully Paid,36,0,0.30456852791878175,0,"(20, 30]",Medium Risk
10000.0, 36 months,B,33000.0,21.75,Fully Paid,36,0,0.30303030303030304,0,"(20, 30]",Medium Risk
4200.0, 36 months,C,32000.0,31.02,Fully Paid,36,0,0.13125,0,"(30, 100]",Medium Risk
35000.0, 60 months,E,120000.0,35.69,Fully Paid,60,0,0.2916666666666667,0,"(30, 100]",High Risk
5475.0, 36 months,E,108000.0,33.47,Charged Off,36,1,0.050694444444444445,0,"(30, 100]",Medium Risk
16000.0, 60 months,A,60000.0,28.58,Current,60,0,0.26666666666666666,0,"(20, 30]",Medium Risk
6000.0, 36 months,C,38700.0,23.26,Fully Paid,36,0,0.15503875968992248,0,"(20, 30]",Medium Risk
24000.0, 36 months,B,75000.0,10.11,Fully Paid,36,0,0.32,0,"(10, 20]",Low Risk
10000.0, 36 months,C,60000.0,3.3,Fully Paid,36,0,0.16666666666666666,0,"(0, 10]",Medium Risk
6900.0, 36 months,E,80000.0,9.57,Fully Paid,36,0,0.08625,0,"(0, 10]",Medium Risk
22400.0, 60 months,B,48000.0,28.48,Current,60,0,0.4666666666666667,0,"(20, 30]",Medium Risk
15975.0, 36 months,D,58800.0,20.45,Fully Paid,36,0,0.27168367346938777,0,"(20, 30]",Medium Risk
21600.0, 36 months,C,54000.0,17.64,Fully Paid,36,0,0.4,0,"(10, 20]",Medium Risk
24000.0, 60 months,C,82193.0,29.92,Current,60,0,0.2919956687309138,0,"(20, 30]",Medium Risk
14400.0, 60 months,E,73320.0,17.02,Charged Off,60,1,0.19639934533551553,0,"(10, 20]",Medium Risk
8000.0, 36 months,C,42000.0,23.26,Fully Paid,36,0,0.19047619047619047,0,"(20, 30]",Medium Risk
7000.0, 36 months,C,83000.0,21.96,Fully Paid,36,0,0.08433734939759036,0,"(20, 30]",Medium Risk
20000.0, 36 months,B,55000.0,36.94,Fully Paid,36,0,0.36363636363636365,0,"(30, 100]",High Risk
25825.0, 60 months,F,68000.0,31.68,Charged Off,60,1,0.37977941176470587,0,"(30, 100]",High Risk
24575.0, 60 months,F,92000.0,24.16,Fully Paid,60,0,0.26711956521739133,0,"(20, 30]",High Risk
3200.0, 36 months,B,30407.0,20.61,Fully Paid,36,0,0.10523892524747591,0,"(20, 30]",Medium Risk
22875.0, 60 months,D,137000.0,32.3,Fully Paid,60,0,0.16697080291970803,0,"(30, 100]",Medium Risk
16000.0, 60 months,C,80000.0,19.59,Current,60,0,0.2,0,"(10, 20]",Medium Risk
35000.0, 36 months,C,125000.0,24.19,Fully Paid,36,0,0.28,0,"(20, 30]",Medium Risk
2400.0, 36 months,D,52000.0,28.38,Fully Paid,36,0,0.046153846153846156,0,"(20, 30]",Medium Risk
25000.0, 36 months,A,132000.0,13.83,Fully Paid,36,0,0.1893939393939394,0,"(10, 20]",Low Risk
8800.0, 36 months,C,55000.0,35.52,Fully Paid,36,0,0.16,0,"(30, 100]",High Risk
2500.0, 36 months,B,16488.0,38.06,Fully Paid,36,0,0.15162542455118874,0,"(30, 100]",High Risk
8000.0, 36 months,A,50000.0,14.86,Fully Paid,36,0,0.16,0,"(10, 20]",Low Risk
20000.0, 36 months,C,78000.0,27.1,Charged Off,36,1,0.2564102564102564,0,"(20, 30]",Medium Risk
35000.0, 60 months,C,110000.0,13.39,Charged Off,60,1,0.3181818181818182,0,"(10, 20]",Medium Risk
15000.0, 36 months,A,45000.0,10.67,Fully Paid,36,0,0.3333333333333333,0,"(10, 20]",Low Risk
16000.0, 36 months,D,70000.0,8.78,Charged Off,36,1,0.22857142857142856,0,"(0, 10]",Medium Risk
10800.0, 60 months,C,40000.0,26.13,Fully Paid,60,0,0.27,0,"(20, 30]",Medium Risk
7500.0, 36 months,D,15000.0,37.2,Fully Paid,36,0,0.5,0,"(30, 100]",High Risk
16000.0, 36 months,B,63000.0,35.19,Charged Off,36,1,0.25396825396825395,0,"(30, 100]",High Risk
9000.0, 36 months,A,49000.0,21.63,Fully Paid,36,0,0.1836734693877551,0,"(20, 30]",Medium Risk
9500.0, 36 months,D,28000.0,27.95,Fully Paid,36,0,0.3392857142857143,0,"(20, 30]",Medium Risk
10000.0, 36 months,A,25000.0,29.91,Charged Off,36,1,0.4,0,"(20, 30]",Medium Risk
6000.0, 36 months,A,49000.0,17.92,Fully Paid,36,0,0.12244897959183673,0,"(10, 20]",Medium Risk
15600.0, 60 months,C,52000.0,15.37,Fully Paid,60,0,0.3,0,"(10, 20]",Medium Risk
35000.0, 36 months,B,90000.0,13.36,Fully Paid,36,0,0.3888888888888889,0,"(10, 20]",Low Risk
5000.0, 36 months,B,78000.0,21.21,Fully Paid,36,0,0.0641025641025641,0,"(20, 30]",Medium Risk
20400.0, 60 months,D,75000.0,38.65,Fully Paid,60,0,0.272,0,"(30, 100]",High Risk
8000.0, 36 months,D,33130.0,11.52,Charged Off,36,1,0.24147298520977967,0,"(10, 20]",Medium Risk
16000.0, 36 months,B,87500.0,13.74,Fully Paid,36,0,0.18285714285714286,0,"(10, 20]",Low Risk
18000.0, 36 months,A,80000.0,15.56,Charged Off,36,1,0.225,0,"(10, 20]",Medium Risk
35000.0, 36 months,B,105000.0,25.07,Fully Paid,36,0,0.3333333333333333,0,"(20, 30]",Medium Risk
13150.0, 36 months,A,40000.0,20.25,Fully Paid,36,0,0.32875,0,"(20, 30]",Medium Risk
5600.0, 36 months,B,48000.0,19.85,Fully Paid,36,0,0.11666666666666667,0,"(10, 20]",Medium Risk
23000.0, 36 months,B,90247.0,17.09,Fully Paid,36,0,0.25485611710084544,0,"(10, 20]",Medium Risk
12600.0, 60 months,C,175000.0,11.75,Fully Paid,60,0,0.072,0,"(10, 20]",Medium Risk
11000.0, 36 months,D,55000.0,16.85,Fully Paid,36,0,0.2,0,"(10, 20]",Medium Risk
4000.0, 36 months,C,41501.0,12.9,Fully Paid,36,0,0.09638321968145346,0,"(10, 20]",Medium Risk
20000.0, 60 months,C,75000.0,20.67,Current,60,0,0.26666666666666666,0,"(20, 30]",Medium Risk
20000.0, 36 months,B,60000.0,22.62,Fully Paid,36,0,0.3333333333333333,0,"(20, 30]",Medium Risk
10000.0, 36 months,B,59307.0,32.7,Fully Paid,36,0,0.16861416021717504,0,"(30, 100]",Medium Risk
18850.0, 36 months,E,55000.0,15.56,Charged Off,36,1,0.3427272727272727,0,"(10, 20]",Medium Risk
21000.0, 60 months,C,82000.0,15.07,Fully Paid,60,0,0.25609756097560976,0,"(10, 20]",Medium Risk
10500.0, 36 months,B,60000.0,15.39,Fully Paid,36,0,0.175,0,"(10, 20]",Medium Risk
4575.0, 36 months,D,56000.0,10.03,Charged Off,36,1,0.08169642857142857,0,"(10, 20]",Medium Risk
5000.0, 36 months,B,17000.0,27.9,Fully Paid,36,0,0.29411764705882354,0,"(20, 30]",Medium Risk
8000.0, 36 months,A,45000.0,15.15,Fully Paid,36,0,0.17777777777777778,0,"(10, 20]",Medium Risk
5000.0, 36 months,C,30000.0,9.16,Charged Off,36,1,0.16666666666666666,0,"(0, 10]",Medium Risk
9075.0, 36 months,A,40000.0,8.39,Fully Paid,36,0,0.226875,0,"(0, 10]",Low Risk
24000.0, 60 months,C,75181.21,31.57,Current,60,0,0.3192287008948113,0,"(30, 100]",Medium Risk
12500.0, 36 months,A,52000.0,6.83,Fully Paid,36,0,0.2403846153846154,0,"(0, 10]",Low Risk
19600.0, 60 months,D,80000.0,18.99,Charged Off,60,1,0.245,0,"(10, 20]",Medium Risk
35000.0, 36 months,C,90000.0,10.97,Fully Paid,36,0,0.3888888888888889,0,"(10, 20]",Medium Risk
28000.0, 60 months,B,75000.0,24.83,Fully Paid,60,0,0.37333333333333335,0,"(20, 30]",Medium Risk
14000.0, 60 months,D,45500.0,19.24,Charged Off,60,1,0.3076923076923077,0,"(10, 20]",Medium Risk
16000.0, 36 months,B,99906.0,6.97,Fully Paid,36,0,0.16015054150901847,0,"(0, 10]",Low Risk
14000.0, 36 months,A,120000.0,6.73,Fully Paid,36,0,0.11666666666666667,0,"(0, 10]",Low Risk
24000.0, 36 months,B,72000.0,22.8,Fully Paid,36,0,0.3333333333333333,0,"(20, 30]",Medium Risk
35000.0, 36 months,C,75000.0,18.19,Fully Paid,36,0,0.4666666666666667,0,"(10, 20]",Medium Risk
14550.0, 60 months,D,70000.0,34.44,Current,60,0,0.20785714285714285,0,"(30, 100]",Medium Risk
8000.0, 36 months,B,21610.0,31.06,Fully Paid,36,0,0.37019898195279966,0,"(30, 100]",Medium Risk
32400.0, 60 months,B,106284.0,24.11,Current,60,0,0.304843626510105,0,"(20, 30]",Medium Risk
3600.0, 36 months,C,25000.0,26.45,Fully Paid,36,0,0.144,0,"(20, 30]",Medium Risk
10500.0, 36 months,C,110000.0,30.73,Fully Paid,36,0,0.09545454545454546,0,"(30, 100]",Medium Risk
3000.0, 36 months,B,105000.0,12.09,Fully Paid,36,0,0.02857142857142857,0,"(10, 20]",Low Risk
16000.0, 36 months,C,43000.0,17.11,Fully Paid,36,0,0.37209302325581395,0,"(10, 20]",Medium Risk
8000.0, 36 months,A,57000.0,25.01,Fully Paid,36,0,0.14035087719298245,0,"(20, 30]",Medium Risk
19500.0, 36 months,A,85000.0,13.74,Fully Paid,36,0,0.22941176470588234,0,"(10, 20]",Low Risk
2000.0, 36 months,B,140000.0,6.78,Fully Paid,36,0,0.014285714285714285,0,"(0, 10]",Low Risk
16000.0, 36 months,A,96000.0,14.45,Fully Paid,36,0,0.16666666666666666,0,"(10, 20]",Low Risk
3500.0, 36 months,B,122400.0,17.97,Fully Paid,36,0,0.028594771241830064,0,"(10, 20]",Medium Risk
14000.0, 60 months,B,94000.0,32.3,Current,60,0,0.14893617021276595,0,"(30, 100]",Medium Risk
24000.0, 36 months,B,95000.0,26.89,Fully Paid,36,0,0.25263157894736843,0,"(20, 30]",Medium Risk
6000.0, 36 months,A,120000.0,3.98,Fully Paid,36,0,0.05,0,"(0, 10]",Low Risk
24000.0, 36 months,A,100000.0,26.83,Fully Paid,36,0,0.24,0,"(20, 30]",Medium Risk
14875.0, 60 months,D,37231.0,36.3,Charged Off,60,1,0.399532647524912,0,"(30, 100]",High Risk
10000.0, 36 months,C,45000.0,37.55,Fully Paid,36,0,0.2222222222222222,0,"(30, 100]",High Risk
15000.0, 36 months,A,93000.0,14.86,Fully Paid,36,0,0.16129032258064516,0,"(10, 20]",Low Risk
10000.0, 36 months,A,68000.0,14.61,Fully Paid,36,0,0.14705882352941177,0,"(10, 20]",Low Risk
18000.0, 60 months,B,97000.0,22.22,Current,60,0,0.18556701030927836,0,"(20, 30]",Medium Risk
24000.0, 60 months,E,97000.0,7.23,Fully Paid,60,0,0.24742268041237114,0,"(0, 10]",Medium Risk
23525.0, 60 months,D,70000.0,13.33,Fully Paid,60,0,0.3360714285714286,0,"(10, 20]",Medium Risk
12000.0, 60 months,B,68000.0,14.53,Current,60,0,0.17647058823529413,0,"(10, 20]",Low Risk
11000.0, 36 months,B,297000.0,12.69,Fully Paid,36,0,0.037037037037037035,0,"(10, 20]",Low Risk
24000.0, 36 months,B,210000.0,20.16,Fully Paid,36,0,0.11428571428571428,0,"(20, 30]",Medium Risk
15000.0, 60 months,D,42900.0,36.98,Current,60,0,0.34965034965034963,0,"(30, 100]",High Risk
16000.0, 36 months,B,140000.0,14.68,Fully Paid,36,0,0.11428571428571428,0,"(10, 20]",Low Risk
15000.0, 60 months,A,90000.0,17.07,Charged Off,60,1,0.16666666666666666,0,"(10, 20]",Medium Risk
5000.0, 36 months,C,60000.0,19.56,Charged Off,36,1,0.08333333333333333,0,"(10, 20]",Medium Risk
19100.0, 60 months,B,115000.0,14.35,Current,60,0,0.16608695652173913,0,"(10, 20]",Low Risk
15000.0, 36 months,B,85000.0,10.14,Fully Paid,36,0,0.17647058823529413,0,"(10, 20]",Low Risk
30000.0, 60 months,D,85000.0,35.93,Current,60,0,0.35294117647058826,0,"(30, 100]",High Risk
15000.0, 36 months,B,60000.0,25.56,Fully Paid,36,0,0.25,0,"(20, 30]",Medium Risk
3500.0, 36 months,C,105000.0,17.65,Fully Paid,36,0,0.03333333333333333,0,"(10, 20]",Medium Risk
20000.0, 36 months,B,130000.0,12.77,Fully Paid,36,0,0.15384615384615385,0,"(10, 20]",Low Risk
10000.0, 60 months,C,30160.0,29.45,Current,60,0,0.33156498673740054,0,"(20, 30]",Medium Risk
35000.0, 60 months,D,132500.0,14.48,Fully Paid,60,0,0.2641509433962264,0,"(10, 20]",Medium Risk
16000.0, 60 months,C,90000.0,16.65,Late (31-120 days),60,0,0.17777777777777778,0,"(10, 20]",Medium Risk
2000.0, 36 months,C,180000.0,12.66,Fully Paid,36,0,0.011111111111111112,0,"(10, 20]",Medium Risk
12000.0, 36 months,B,39500.0,25.43,Fully Paid,36,0,0.3037974683544304,0,"(20, 30]",Medium Risk
8000.0, 36 months,A,80000.0,18.92,Fully Paid,36,0,0.1,0,"(10, 20]",Medium Risk
10000.0, 36 months,B,92000.0,10.55,Charged Off,36,1,0.10869565217391304,0,"(10, 20]",Low Risk
25000.0, 60 months,A,76500.0,15.65,Current,60,0,0.32679738562091504,0,"(10, 20]",Medium Risk
35000.0, 36 months,C,100000.0,19.43,Fully Paid,36,0,0.35,0,"(10, 20]",Medium Risk
25600.0, 60 months,A,150000.0,10.88,Fully Paid,60,0,0.17066666666666666,0,"(10, 20]",Low Risk
4325.0, 36 months,C,90000.0,16.96,Fully Paid,36,0,0.04805555555555555,0,"(10, 20]",Medium Risk
6000.0, 36 months,A,48000.0,33.78,Fully Paid,36,0,0.125,0,"(30, 100]",Medium Risk
18200.0, 60 months,D,65000.0,29.28,Charged Off,60,1,0.28,0,"(20, 30]",Medium Risk
10000.0, 36 months,A,54000.0,19.38,Fully Paid,36,0,0.18518518518518517,0,"(10, 20]",Medium Risk
30000.0, 60 months,C,81000.0,12.03,Fully Paid,60,0,0.37037037037037035,0,"(10, 20]",Medium Risk
13200.0, 36 months,A,150000.0,15.45,Fully Paid,36,0,0.088,0,"(10, 20]",Medium Risk
10000.0, 36 months,A,220000.0,4.76,Fully Paid,36,0,0.045454545454545456,0,"(0, 10]",Low Risk
3000.0, 36 months,B,75000.0,22.82,Fully Paid,36,0,0.04,0,"(20, 30]",Medium Risk
20000.0, 36 months,B,96000.0,19.04,Fully Paid,36,0,0.20833333333333334,0,"(10, 20]",Medium Risk
13875.0, 60 months,C,32500.0,23.53,Fully Paid,60,0,0.4269230769230769,0,"(20, 30]",Medium Risk
18000.0, 36 months,A,76000.0,14.4,Fully Paid,36,0,0.23684210526315788,0,"(10, 20]",Low Risk
15225.0, 36 months,B,40000.0,21.21,Charged Off,36,1,0.380625,0,"(20, 30]",Medium Risk
16000.0, 60 months,B,65000.0,21.16,Charged Off,60,1,0.24615384615384617,0,"(20, 30]",Medium Risk
